customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CU-10000,Female,0,Yes,No,29,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.08,1641.73,0
CU-10001,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.3,1901.96,0
CU-10002,Female,1,No,No,46,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,60.47,2729.16,0
CU-10003,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,64.43,62.0,0
CU-10004,Male,0,Yes,No,8,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,61.09,477.84,1
CU-10005,Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,38.06,969.27,0
CU-10006,Female,1,No,No,62,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,60.15,3655.73,0
CU-10007,Female,1,No,No,25,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,49.97,1225.53,0
CU-10008,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.37,2272.88,1
CU-10009,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,82.41,4511.04,1
CU-10010,Male,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,34.97,34.97,1
CU-10011,Female,0,No,No,62,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),53.44,3128.02,0
CU-10012,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,66.42,393.34,0
CU-10013,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.14,650.63,0
CU-10014,Male,0,Yes,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.68,1085.79,0
CU-10015,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.67,1932.71,0
CU-10016,Female,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,72.98,1152.44,1
CU-10017,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,81.24,2296.4,1
CU-10018,Female,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),78.27,5534.39,0
CU-10019,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,41.82,1935.28,0
CU-10020,Female,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.85,1266.33,0
CU-10021,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),65.7,131.09,1
CU-10022,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,66.22,2409.47,0
CU-10023,Female,0,No,No,1,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,53.71,51.17,1
CU-10024,Female,1,No,No,48,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,58.12,2694.6,0
CU-10025,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.64,1557.2,0
CU-10026,Male,1,Yes,No,51,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.67,2541.97,0
CU-10027,Male,1,Yes,No,12,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,55.92,631.99,0
CU-10028,Male,0,No,No,39,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.92,3059.29,1
CU-10029,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,77.78,5180.73,0
CU-10030,Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,56.01,2708.91,0
CU-10031,Female,0,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,69.0,993.64,1
CU-10032,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,77.33,873.29,0
CU-10033,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.71,3461.5,0
